Date,Predicted
2025-11-02,7928.3271484375
2025-11-09,8393.6171875
2025-11-16,9009.9072265625
2025-11-23,9121.45703125
2025-11-30,9125.35546875
2025-12-07,9056.291015625
2025-12-14,8653.779296875
2025-12-21,8683.154296875
2025-12-28,9094.314453125
2026-01-04,9079.587890625
2026-01-11,9059.517578125
2026-01-18,8653.779296875
