Feature,Importance
TPIA_lag1,0.10726982
TPIA_lag2,0.0065984675
TPIA_lag3,0.0026375533
TPIA_lag4,0.25538513
TPIA_lag5,0.45521924
TPIA_MA3,0.13288416
TPIA_MA5,0.040005643
