Feature,Importance
BRPT_lag1,0.08983554
BRPT_lag2,0.042736992
BRPT_lag3,0.040108047
BRPT_lag4,0.038429994
BRPT_lag5,0.031591043
BRPT_MA3,0.52598023
BRPT_MA5,0.23131819
