Feature,Importance
ASII_lag1,0.31471297
ASII_lag2,0.012105932
ASII_lag3,0.010096267
ASII_lag4,0.011477109
ASII_lag5,0.013777991
ASII_MA3,0.53619844
ASII_MA5,0.10163117
